OID_,NAME,COUNTY
85,NARRAGANSETT,WASHINGTON
86,NEWPORT,NEWPORT
87,NEWPORT,NEWPORT
88,NEWPORT,NEWPORT
89,NEWPORT,NEWPORT
90,JAMESTOWN,NEWPORT
91,JAMESTOWN,NEWPORT
92,JAMESTOWN,NEWPORT
93,MIDDLETOWN,NEWPORT
94,LITTLE COMPTON,NEWPORT
95,LITTLE COMPTON,NEWPORT
96,LITTLE COMPTON,NEWPORT
97,JAMESTOWN,NEWPORT
98,JAMESTOWN,NEWPORT
99,MIDDLETOWN,NEWPORT
100,MIDDLETOWN,NEWPORT
101,MIDDLETOWN,NEWPORT
102,JAMESTOWN,NEWPORT
103,MIDDLETOWN,NEWPORT
104,MIDDLETOWN,NEWPORT
105,MIDDLETOWN,NEWPORT
106,MIDDLETOWN,NEWPORT
107,LITTLE COMPTON,NEWPORT
108,LITTLE COMPTON,NEWPORT
109,JAMESTOWN,NEWPORT
110,LITTLE COMPTON,NEWPORT
111,NEWPORT,NEWPORT
112,NEWPORT,NEWPORT
113,JAMESTOWN,NEWPORT
114,JAMESTOWN,NEWPORT
115,LITTLE COMPTON,NEWPORT
116,JAMESTOWN,NEWPORT
